CustomerID,OrderID,OrderDate,Product,Quantity,Price,TotalAmount
C001,O1001,2026-01-05,Laptop,1,55000,55000
C002,O1002,2026-01-07,Mouse,2,800,1600
C003,O1003,2026-01-10,Keyboard,1,1500,1500
C001,O1004,2026-01-15,Mouse,1,800,800
C004,O1005,2026-01-18,Monitor,1,12000,12000
C002,O1006,2026-01-22,Keyboard,1,1500,1500
C005,O1007,2026-01-25,Laptop Bag,1,2500,2500
C003,O1008,2026-02-02,Mouse,2,800,1600
C001,O1009,2026-02-08,Keyboard,1,1500,1500
C004,O1010,2026-02-12,Mouse,1,800,800
C002,O1011,2026-02-18,Monitor,1,12000,12000
C005,O1012,2026-02-25,Mouse,1,800,800
C001,O1013,2026-03-01,Laptop Bag,1,2500,2500
C003,O1014,2026-03-05,Keyboard,1,1500,1500
C002,O1015,2026-03-10,Mouse,3,800,2400
